,20150917,20060814,20141204,20101206,20130502,19850808,20150226,19840926,19890218,20060420
12875-80-2,"['19970917', 30884, 463565, 98.62, 46.126, 97.057]","['20010824', 27290, 403595, 98.839, 42.826, 97.55]","['20121204', 23512, 369165, 98.851, 40.965, 97.609]","['20111207', 32643, 503099, 98.553, 48.727, 96.994]","['19910501', 22547, 343162, 99.148, 38.795, 98.201]","['19860802', 16011, 240513, 98.624, 31.12, 97.127]","['19910210', 25248, 395780, 98.885, 41.593, 97.565]","['19811001', 17296, 258754, 98.645, 32.71, 97.171]","['19900210', 15380, 232273, 98.861, 29.484, 97.512]","['20010420', 22993, 368872, 98.998, 40.314, 97.854]"
12875-95-4,"['19970917', 1977, 463565, 98.62, 46.126, 97.057]","['20010824', 1767, 403595, 98.839, 42.826, 97.55]","['20121204', 1426, 369165, 98.851, 40.965, 97.609]","['20111207', 2155, 503099, 98.553, 48.727, 96.994]","['19910501', 1524, 343162, 99.148, 38.795, 98.201]","['19860802', 973, 240513, 98.624, 31.12, 97.127]","['19910210', 1545, 395780, 98.885, 41.593, 97.565]","['19811001', 1134, 258754, 98.645, 32.71, 97.171]","['19900210', 951, 232273, 98.861, 29.484, 97.512]","['20010420', 1220, 368872, 98.998, 40.314, 97.854]"
12875-80-4,"['20020911', 2629, 615994, 98.514, 53.127, 96.819]","['19990816', 1973, 477816, 98.638, 47.137, 97.136]","['19901204', 1885, 472024, 98.786, 47.095, 97.481]","['20071205', 2029, 521354, 98.497, 49.636, 96.879]","['19910503', 1513, 352944, 99.116, 39.486, 98.134]","['19910729', 1340, 315838, 98.283, 37.324, 96.415]","['19900217', 2035, 521099, 98.758, 48.403, 97.283]","['19901002', 1357, 293646, 98.571, 35.443, 96.998]","['19910226', 1506, 377966, 98.841, 40.467, 97.465]","['19950420', 1293, 378448, 98.933, 40.924, 97.714]"
12875-80-3,"['20090909', 9322, 544655, 98.683, 50.057, 97.186]","['20050812', 7246, 451247, 98.803, 45.545, 97.47]","['19871129', 6929, 430894, 99.007, 44.838, 97.945]","['19951205', 8951, 555136, 98.599, 51.218, 97.095]","['19880504', 6012, 358654, 98.964, 39.91, 97.812]","['19820804', 6569, 384969, 98.753, 42.034, 97.405]","['19820306', 7700, 494851, 98.581, 47.284, 96.91]","['19901002', 5017, 293646, 98.571, 35.443, 96.998]","['20080225', 4636, 303221, 98.696, 35.387, 97.156]","['19950419', 5605, 379446, 98.973, 40.97, 97.799]"
12875-80-2,"['20020914', 40513, 607838, 98.437, 52.815, 96.654]","['20080810', 28299, 426860, 98.703, 44.258, 97.266]","['20021203', 27646, 440499, 98.982, 45.287, 97.885]","['20011206', 34244, 533010, 98.919, 50.079, 97.755]","['19910501', 22547, 343162, 99.148, 38.795, 98.201]","['19870808', 28207, 431072, 98.681, 44.768, 97.25]","['19820221', 34039, 531591, 98.646, 49.02, 97.048]","['19901002', 19594, 293646, 98.571, 35.443, 96.998]","['19900214', 15773, 236008, 98.889, 29.791, 97.57]","['20000422', 27373, 436183, 98.978, 44.441, 97.814]"
12875-95-4,"['19970911', 2088, 470643, 98.602, 46.52, 97.02]","['20010815', 1643, 419938, 98.942, 43.821, 97.772]","['20121204', 1426, 369165, 98.851, 40.965, 97.609]","['20111207', 2155, 503099, 98.553, 48.727, 96.994]","['19910503', 1513, 352944, 99.116, 39.486, 98.134]","['19860802', 973, 240513, 98.624, 31.12, 97.127]","['19910226', 1547, 400966, 98.864, 41.887, 97.514]","['19901001', 1350, 292788, 98.548, 35.377, 96.949]","['20080219', 1066, 283921, 98.722, 33.873, 97.21]","['20010423', 1253, 376471, 98.939, 40.84, 97.73]"
12875-95-3,"['19970912', 8311, 468102, 98.623, 46.378, 97.064]","['20080813', 6874, 425617, 98.712, 44.175, 97.283]","['20121204', 5786, 369165, 98.851, 40.965, 97.609]","['20111207', 8157, 503099, 98.553, 48.727, 96.994]","['19910501', 5692, 343162, 99.148, 38.795, 98.201]","['19860802', 4043, 240513, 98.624, 31.12, 97.127]","['19910225', 6252, 402918, 98.88, 42.005, 97.551]","['19901001', 5028, 292788, 98.548, 35.377, 96.949]","['20080222', 4548, 294868, 98.695, 34.749, 97.154]","['20010423', 5513, 376471, 98.939, 40.84, 97.73]"
12875-95-2,"['19970912', 31808, 468102, 98.623, 46.378, 97.064]","['20080809', 28298, 425152, 98.671, 44.176, 97.2]","['20121204', 23512, 369165, 98.851, 40.965, 97.609]","['20111208', 32729, 503271, 98.544, 48.734, 96.974]","['19910501', 22547, 343162, 99.148, 38.795, 98.201]","['19860802', 16011, 240513, 98.624, 31.12, 97.127]","['19910223', 26114, 410885, 98.866, 42.495, 97.52]","['19901001', 19545, 292788, 98.548, 35.377, 96.949]","['20080220', 18410, 285771, 98.724, 34.021, 97.216]","['20010423', 23458, 376471, 98.939, 40.84, 97.73]"
12875-99-4,"['19970911', 2088, 470643, 98.602, 46.52, 97.02]","['20010815', 1643, 419938, 98.942, 43.821, 97.772]","['20121204', 1426, 369165, 98.851, 40.965, 97.609]","['20111207', 2155, 503099, 98.553, 48.727, 96.994]","['19910503', 1513, 352944, 99.116, 39.486, 98.134]","['19860802', 973, 240513, 98.624, 31.12, 97.127]","['19910226', 1547, 400966, 98.864, 41.887, 97.514]","['19901001', 1350, 292788, 98.548, 35.377, 96.949]","['20080219', 1066, 283921, 98.722, 33.873, 97.21]","['20010423', 1253, 376471, 98.939, 40.84, 97.73]"
12875-99-3,"['19970912', 8311, 468102, 98.623, 46.378, 97.064]","['20080813', 6874, 425617, 98.712, 44.175, 97.283]","['20121204', 5786, 369165, 98.851, 40.965, 97.609]","['20111207', 8157, 503099, 98.553, 48.727, 96.994]","['19910501', 5692, 343162, 99.148, 38.795, 98.201]","['19860802', 4043, 240513, 98.624, 31.12, 97.127]","['19910225', 6252, 402918, 98.88, 42.005, 97.551]","['19901001', 5028, 292788, 98.548, 35.377, 96.949]","['20080222', 4548, 294868, 98.695, 34.749, 97.154]","['20010423', 5513, 376471, 98.939, 40.84, 97.73]"
