,pca_components,squeeze_num,read,squeeze,extract_num,concat,PCA,recoverImg,extraction,compare,saveImg,total,calc_total
80,1,1,316.552,57.428,12875,0.002,0.009,0,8.793,19371.709,0,19754.516,19380.502
95,29,1,188.766,27.17,12875,0.001,0.06,0,20.005,19629.303,0,19865.327,19649.308
99,397,1,96.08,24.914,12875,0.001,0.741,0,68.956,18943.79,0,19134.556,19012.746
80,1,1,69.19,24.672,128750,0.0,0.007,0,18.1,18856.288,0,18968.269,18874.388
95,29,1,66.091,22.492,128750,0.0,0.07,0,23.48,19101.67,0,19213.822,19125.15
99,397,1,86.445,23.838,128750,0.001,0.898,0,69.078,19116.551,0,19296.896,19185.629
