,squeeze_num,read,squeeze,concat,PCA
12875,4,33.661,0.0,0,0.0
12875,4,22.627,0.0,0,0.0
12875,4,21.08,0.0,0,0.0
12875,4,22.499,0.0,0,0.0
12875,1,41.919,1028.051,0,0.0
12875,4,22.46,0.0,0,13.785
12875,3,24.275,0.0,0,596.991
12875,2,51.143,0.0,0,2183.825
12875,1,71.369,0.0,0,4283.881
