,고윳값,기여율,누적기여율
pca1,8667.02493101452,0.8482367115909696,0.8482367115909696
pca2,426.30795889797923,0.041722513095200225,0.8899592246861698
pca3,215.7362909581337,0.021113985879782096,0.9110732105659519
pca4,113.82266030653156,0.011139757858253538,0.9222129684242054
pca5,77.53665023393745,0.007588467062885861,0.9298014354870913
pca6,48.78185414213105,0.004774251819071206,0.9345756873061625
pca7,36.81431522618379,0.0036029957148486233,0.9381786830210112
pca8,27.36043177765107,0.0026777496157573853,0.9408564326367685
pca9,24.402226652358177,0.0023882317930139967,0.9432446644297825
pca10,22.284266045752787,0.002180948214793589,0.9454256126445761
pca11,18.953458669012736,0.0018549640254463676,0.9472805766700225
pca12,18.095640119566124,0.0017710098207087614,0.9490515864907313
pca13,17.20441118904891,0.0016837857613211569,0.9507353722520524
pca14,15.8680535763712,0.0015529972155502829,0.9522883694676026
pca15,15.363177460378472,0.0015035852824129955,0.9537919547500157
pca16,13.518968736851669,0.0013230936424808322,0.9551150483924965
pca17,12.47911143392952,0.0012213234103452138,0.9563363718028417
pca18,12.16092677628434,0.001190182862137739,0.9575265546649795
pca19,11.006857691910033,0.0010772347890826547,0.9586037894540621
pca20,10.677668019076345,0.001045017186410838,0.9596488066404729
pca21,9.932603890723456,0.0009720981915782631,0.9606209048320512
pca22,9.282642210156826,0.0009084868182440176,0.9615293916502953
pca23,8.963989528175581,0.0008773004647657688,0.962406692115061
pca24,8.315652497108175,0.0008138480949373026,0.9632205402099984
pca25,8.175085803569779,0.0008000909140320589,0.9640206311240305
pca26,7.911780823974685,0.0007743214081387458,0.9647949525321692
pca27,7.547533744412518,0.0007386727573694603,0.9655336252895387
pca28,7.109404045038459,0.0006957932573789267,0.9662294185469176
pca29,6.613221081795778,0.0006472321180677504,0.9668766506649853
pca30,6.578669809959939,0.0006438506050991604,0.9675205012700845
pca31,6.3317348043748245,0.0006196832190836114,0.968140184489168
pca32,6.099482660778594,0.0005969528362691985,0.9687371373254372
pca33,6.001690541743181,0.0005873819782030961,0.9693245193036403
pca34,5.629022830484862,0.0005509092050854483,0.9698754285087258
pca35,5.4802134934563345,0.0005363453214345061,0.9704117738301603
pca36,5.2843623729969265,0.0005171774856774617,0.9709289513158378
pca37,5.226966377388197,0.0005115601728208413,0.9714405114886586
pca38,4.81926513408179,0.0004716586882068705,0.9719121701768655
pca39,4.784955842731916,0.00046830085772832977,0.9723804710345938
pca40,4.473291499699049,0.0004377984489365491,0.9728182694835303
pca41,4.413091582547066,0.00043190671790202566,0.9732501762014324
pca42,4.155365766223652,0.00040668324148764766,0.97365685944292
pca43,4.002750724478592,0.00039174689571968923,0.9740486063386397
pca44,3.898866906781397,0.0003815798466327923,0.9744301861852724
pca45,3.8387857960709995,0.0003756997431159151,0.9748058859283883
pca46,3.7589585030297235,0.00036788709216781007,0.9751737730205562
pca47,3.5604317180157685,0.00034845739067008373,0.9755222304112263
pca48,3.481307662978888,0.0003407135652182778,0.9758629439764446
pca49,3.2955816151743265,0.0003225366644593126,0.9761854806409039
pca50,3.2581955572067467,0.0003188777126134158,0.9765043583535173
pca51,3.210884994728157,0.00031424745525754355,0.9768186058087749
pca52,3.0733531223670765,0.00030078729054369214,0.9771193930993186
pca53,2.965498017478853,0.0002902315738788762,0.9774096246731975
pca54,2.820054417946572,0.00027599709300785196,0.9776856217662053
pca55,2.755700759381457,0.00026969883770633737,0.9779553206039117
pca56,2.637328454871188,0.00025811380880421303,0.9782134344127159
pca57,2.5936343157328317,0.0002538374887066569,0.9784672719014226
pca58,2.524522308075931,0.00024707353653472317,0.9787143454379573
pca59,2.4842411869884593,0.00024313124653759088,0.978957476684495
pca60,2.377041330358579,0.00023263965864041506,0.9791901163431354
pca61,2.329598322468018,0.00022799643892876213,0.9794181127820641
pca62,2.2582949653489734,0.0002210180206538103,0.9796391308027179
pca63,2.1906247063416666,0.0002143951715874066,0.9798535259743053
pca64,2.1624973201130415,0.0002116423605836167,0.9800651683348889
pca65,2.1590084678002444,0.00021130090862788925,0.9802764692435167
pca66,2.111905915426938,0.00020669100910057845,0.9804831602526173
pca67,2.0828953910536896,0.00020385176587793164,0.9806870120184952
pca68,2.0085910123020287,0.0001965796393534564,0.9808835916578487
pca69,1.949628787896025,0.00019080904059132927,0.98107440069844
pca70,1.8627157350996666,0.0001823029104388127,0.9812567036088788
pca71,1.8514030989587436,0.00018119574928997793,0.9814378993581688
pca72,1.8218115695741437,0.00017829964344328545,0.9816161990016121
pca73,1.8016843343651792,0.0001763298025875177,0.9817925288041996
pca74,1.7408466317701108,0.00017037565186097197,0.9819629044560606
pca75,1.7148797982338357,0.00016783429289817252,0.9821307387489587
pca76,1.6983327353012945,0.00016621484143009596,0.9822969535903888
pca77,1.6398752887802757,0.00016049364498729426,0.9824574472353761
pca78,1.613442466425848,0.00015790667996868048,0.9826153539153448
pca79,1.5955568899717483,0.0001561562289572792,0.9827715101443021
pca80,1.573120033664937,0.0001539603468219891,0.9829254704911241
pca81,1.5527488406998966,0.00015196662996189137,0.983077437121086
pca82,1.5180893855681041,0.00014857452915676713,0.9832260116502427
pca83,1.4692380965560972,0.00014379348178718556,0.9833698051320299
pca84,1.4566766351075124,0.0001425640988285886,0.9835123692308585
pca85,1.415422131903121,0.00013852654448728407,0.9836508957753458
pca86,1.3969829214465546,0.00013672190963662825,0.9837876176849825
pca87,1.3936981300407496,0.00013640042900371212,0.9839240181139862
pca88,1.3648816677672442,0.00013358017852640073,0.9840575982925126
pca89,1.343503334868057,0.0001314878934641053,0.9841890861859767
