,dense,channel,extract_num,error,encoding_t,sampling_t,extract_t,compare_t,total_t,calc_total
4,128,64,5.0,0,0.013,2.14,0.162,265.528,267.861,265.69
4,128,64,10.0,0,0.013,2.144,0.163,527.539,529.877,527.702
4,256,32,0.1,0,0.038,2.571,0.217,9.004,11.848,9.221
4,256,32,1.0,0,0.234,2.605,0.215,54.928,57.999,55.143
4,256,32,5.0,0,0.037,2.576,0.214,263.995,266.841,264.209
4,256,32,10.0,0,0.03,2.585,0.214,525.661,528.509,525.875
4,256,64,0.1,0,0.029,2.578,0.215,9.053,11.892,9.268
4,256,64,1.0,0,0.026,2.8,0.215,54.794,57.851,55.009
4,256,64,5.0,0,0.029,2.58,0.215,264.223,267.064,264.438
4,256,64,10.0,0,0.028,2.585,0.216,524.599,527.447,524.815
256,64,32,0.1,0,0.007,1.969,0.125,9.274,11.403,9.399
256,64,32,1.0,0,0.007,1.966,0.126,55.045,57.176,55.171
256,64,32,5.0,0,0.008,1.963,0.126,265.507,267.639,265.633
256,64,32,10.0,0,0.007,1.963,0.126,527.051,529.182,527.177
256,64,64,0.1,0,0.008,1.96,0.126,9.24,11.366,9.366
256,64,64,1.0,0,0.007,1.991,0.124,54.958,57.112,55.082
256,64,64,5.0,0,0.007,1.965,0.125,265.49,267.621,265.615
256,64,64,10.0,0,0.007,1.962,0.126,527.032,529.161,527.158
256,128,32,0.1,0,0.014,2.22,0.144,8.96,11.371,9.104
256,128,32,1.0,0,0.013,2.432,0.147,54.897,57.522,55.044
256,128,32,5.0,0,0.016,2.205,0.143,265.436,267.836,265.57899999999995
256,128,32,10.0,0,0.013,2.226,0.143,527.058,529.475,527.201
256,128,64,0.1,0,0.016,2.216,0.145,9.229,11.638,9.374
256,128,64,1.0,0,0.013,2.226,0.143,55.038,57.453,55.181
256,128,64,5.0,0,0.013,2.219,0.144,265.627,268.037,265.771
256,128,64,10.0,0,0.013,2.221,0.144,527.416,529.828,527.5600000000001
256,256,32,0.1,0,0.033,2.69,0.197,8.988,11.942,9.185
256,256,32,1.0,0,0.027,2.908,0.197,54.867,58.031,55.064
256,256,32,5.0,0,0.037,2.672,0.198,264.929,267.872,265.12699999999995
256,256,32,10.0,0,0.029,2.688,0.197,526.027,528.975,526.224
256,256,64,0.1,0,0.037,2.669,0.198,9.26,12.198,9.458
256,256,64,1.0,0,0.028,2.693,0.201,54.919,57.873,55.12
256,256,64,5.0,0,0.028,2.686,0.197,264.856,267.804,265.053
256,256,64,10.0,0,0.029,2.681,0.199,525.916,528.861,526.115
64,64,32,0.1,0,0.007,1.971,0.124,8.964,11.1,9.088
64,64,32,1.0,0,0.007,2.173,0.124,54.855,57.192,54.979
64,64,32,5.0,0,0.007,1.963,0.124,265.4,267.53,265.524
64,64,32,10.0,0,0.007,1.97,0.124,525.918,528.055,526.042
64,64,64,0.1,0,0.007,1.965,0.125,9.032,11.161,9.157
64,64,64,1.0,0,0.007,2.181,0.124,54.862,57.207,54.986
64,64,64,5.0,0,0.007,1.966,0.124,264.888,267.022,265.012
64,64,64,10.0,0,0.007,1.961,0.124,525.855,527.983,525.979
64,128,32,0.1,0,0.014,2.203,0.144,8.96,11.355,9.104
64,128,32,1.0,0,0.013,2.432,0.144,54.844,57.466,54.988
64,128,32,5.0,0,0.016,2.219,0.143,264.958,267.374,265.101
64,128,32,10.0,0,0.013,2.211,0.144,525.999,528.403,526.143
64,128,64,0.1,0,0.016,2.206,0.145,9.123,11.526,9.268
64,128,64,1.0,0,0.013,2.213,0.143,54.729,57.132,54.872
64,128,64,5.0,0,0.013,2.21,0.143,264.622,267.025,264.765
64,128,64,10.0,0,0.013,2.211,0.144,525.279,527.683,525.423
64,256,32,0.1,0,0.032,2.682,0.196,8.977,11.923,9.173
64,256,32,1.0,0,0.026,2.897,0.196,54.682,57.836,54.878
64,256,32,5.0,0,0.037,2.666,0.196,264.777,267.714,264.973
64,256,32,10.0,0,0.028,2.678,0.196,525.578,528.518,525.774
64,256,64,0.1,0,0.037,2.659,0.196,9.174,12.104,9.37
64,256,64,1.0,0,0.025,2.674,0.196,54.666,57.595,54.862
64,256,64,5.0,0,0.028,2.682,0.196,264.797,267.741,264.99300000000005
64,256,64,10.0,0,0.028,2.68,0.196,525.637,528.579,525.833
16,64,32,0.1,0,0.007,1.96,0.124,8.905,11.029,9.029
16,64,32,1.0,0,0.007,2.176,0.124,54.83,57.173,54.954
16,64,32,5.0,0,0.007,1.966,0.124,264.529,266.663,264.653
16,64,32,10.0,0,0.007,1.975,0.124,525.132,527.274,525.256
16,64,64,0.1,0,0.007,1.964,0.124,8.971,11.1,9.095
16,64,64,1.0,0,0.007,2.184,0.124,54.834,57.184,54.958000000000006
16,64,64,5.0,0,0.008,1.967,0.124,264.452,266.59,264.576
16,64,64,10.0,0,0.007,1.977,0.125,524.999,527.145,525.124
16,128,32,0.1,0,0.017,2.201,0.144,9.175,11.573,9.319
16,128,32,1.0,0,0.013,2.224,0.143,54.697,57.112,54.84
16,128,32,5.0,0,0.013,2.208,0.143,264.652,267.053,264.795
16,128,32,10.0,0,0.013,2.206,0.143,525.368,527.766,525.5110000000001
16,128,64,0.1,0,0.013,2.21,0.143,8.955,11.357,9.098
16,128,64,1.0,0,0.013,2.429,0.142,54.719,57.338,54.861
16,128,64,5.0,0,0.016,2.202,0.142,264.836,267.235,264.978
16,128,64,10.0,0,0.013,2.221,0.143,525.648,528.061,525.791
16,256,32,0.1,0,0.04,2.668,0.197,9.172,12.113,9.369
16,256,32,1.0,0,0.025,2.673,0.197,54.764,57.695,54.961000000000006
16,256,32,5.0,0,0.028,2.667,0.197,264.713,267.643,264.91
16,256,32,10.0,0,0.028,2.676,0.199,525.595,528.536,525.794
16,256,64,0.1,0,0.028,2.67,0.197,8.995,11.925,9.191999999999998
16,256,64,1.0,0,0.025,2.895,0.196,54.84,57.99,55.036
16,256,64,5.0,0,0.037,2.664,0.196,264.789,267.726,264.985
16,256,64,10.0,0,0.028,2.672,0.196,525.753,528.687,525.9490000000001
4,64,32,0.1,0,0.008,1.964,0.124,9.194,11.328,9.318
4,64,32,1.0,0,0.007,1.965,0.124,54.834,56.965,54.958000000000006
4,64,32,5.0,0,0.007,1.968,0.124,264.642,266.779,264.766
4,64,32,10.0,0,0.007,1.965,0.124,525.252,527.386,525.376
4,64,64,0.1,0,0.007,1.967,0.124,8.96,11.094,9.084
4,64,64,1.0,0,0.007,2.171,0.127,54.779,57.121,54.906000000000006
4,64,64,5.0,0,0.007,1.961,0.123,264.725,266.854,264.848
4,64,64,10.0,0,0.007,1.964,0.124,525.271,527.404,525.395
4,128,32,0.1,0,0.014,2.208,0.142,8.988,11.388,9.13
4,128,32,1.0,0,0.014,2.425,0.142,54.838,57.455,54.98
4,128,32,5.0,0,0.013,2.211,0.143,264.847,267.253,264.98999999999995
4,128,32,10.0,0,0.013,2.207,0.142,525.759,528.158,525.9010000000001
4,128,64,0.1,0,0.013,2.204,0.142,8.96,11.354,9.102
4,128,64,1.0,0,0.013,2.433,0.142,54.816,57.441,54.958000000000006
4,128,64,5.0,0,0.016,2.205,0.142,264.832,267.234,264.974
