,19840322,19850720,19870809,19880517,19850524,19830517,19870328,19840205,19850813,19881215,19870506,19830706,19890228,19890820,19860413,19891110,19860328,19850330,19860804,19830914,19830315,19850801,19820603,19870216,19870304,19891214,19880616,19880926,19860211,19890209,19841111,19860430,19841229,19880617,19880911,19890224,19871112,19880603,19811005,19880906,19880504,19870101,19840409,19860418,19870406,19860811,19851201,19820606,19880224,19891002,19881113,19861217,19820905,19820501,19860121,19821024,19860809,19840423,19870615,19891013,19820514,19881111,19890518,19851005,19870315,19850530,19840529,19880107,19811126,19850611,19860206,19880805,19840607,19850630,19841015,19811110,19830130,19830203,19850520,19860915,19850418,19891011,19840718,19841024,19850930,19860922,19870325,19840814,19850404,19870625,19860605,19870901,19811216,19831221,19880215,19851125,19831215,19850613,19850301,19820206,19880512,19840811,19820917,19811013,19830421,19860706,19820519,19880323,19840114,19821229,19821123,19890320,19850121,19820328,19840604,19811207,19811230,19890703,19871017,19840515,19850824,19811214,19860304,19880114,19840115,19841123,19840104,19821225,19811129,19831014,19891121,19890624,19850320,19890219,19830605,19870604,19821014,19870316,19840427,19891029,19830915,19880803,19840318,19890519,19840712,19851203,19831202,19870403,19831229,19860929,19861027,19841017,19890911,19870220,19831013,19840820,19851202,19860908,19841028,19831223,19870919,19880112,19860415,19850114,19830425,19860710,19841215,19850929,19820802,19890308,19820628,19880523,19860603,19841016,19850713,19870308,19830709,19820610,19890114,19830311,19880609,19861129,19861106,19831128,19860210,19820121,19831204,19830804,19870107,19820315,19821106,19870702,19860314,19841022,19811124,19830118,19840904,19840702,19830518,19880305,19880106,19831106,19820122,19850523,19820118,19870528,19870830,19840624,19860115,19860310,19870819,19811028,19830527,19860323,19831207,19840611,19860719,19830423,19840419,19820317,19850726,19870504,19860610,19851209,19861030,19890629,19850502,19830328,19830705,19861128,19881221,19870523,19831115,19820926,19860628,19870106,19820604,19841009,19860512,19850109,19820705,19860727,19861210,19840506,19860422,19870705,19840222,19860714,19880828,19820224,19820702,19890726,19871216,19811106,19830816,19860112,19840616,19830525,19871016,19850227,19860510,19830711,19820807,19820423,19821016,19830108,19831001,19820724,19851013,19830814,19840927,19851118,19861031,19850901,19860502,19890704,19860111,19820924,19860215,19811027,19880628,19850818,19880626,19850401,19870701,19861110,19850126,19830212,19871123,19831230,19890316,19840805,19820719
1.0,"['19880326', 266011]","['19860725', 187777]","['19830810', 347834]","['19860523', 314910]","['19860520', 263975]","['19830601', 302189]","['19830401', 220657]","['19840131', 71575]","['19820825', 339730]","['19871212', 403741]","['19880430', 292893]","['19830629', 166067]","['19890301', 11344]","['19820823', 325184]","['19860501', 391724]","['19831109', 222822]","['19890331', 255840]","['19820321', 212457]","['19860731', 74869]","['19830831', 174246]","['19880319', 371202]","['19860731', 205681]","['19890601', 326200]","['19820304', 257063]","['19880307', 275855]","['19871209', 320576]","['19890619', 287123]","['19881001', 86974]","['19850227', 262879]","['19890130', 105302]","['19861105', 263814]","['19860501', 17895]","['19850101', 62127]","['19890621', 296787]","['19890918', 290409]","['19890301', 54957]","['19821111', 238514]","['19890603', 257146]","['19840930', 265694]","['19890918', 293847]","['19880430', 63494]","['19840102', 221974]","['19880407', 190676]","['19860501', 238079]","['19830407', 215349]","['19820820', 269756]","['19831127', 289806]","['19830606', 333066]","['19880301', 66091]","['19890930', 34220]","['19831112', 244141]","['19821217', 262325]","['19820831', 103826]","['19820430', 15450]","['19820121', 228776]","['19871029', 239259]","['19820815', 279082]","['19890422', 216131]","['19830614', 334314]","['19881012', 265429]","['19860512', 231538]","['19831111', 264046]","['19890601', 398673]","['19831002', 282592]","['19880315', 253509]","['19890601', 240073]","['19890601', 298531]","['19820101', 303917]","['19831125', 149758]","['19890610', 204649]","['19850201', 259263]","['19820815', 377410]","['19890605', 305639]","['19820704', 233630]","['19881013', 273168]","['19831109', 187530]","['19850203', 537009]","['19890307', 528109]","['19860517', 235447]","['19820831', 313894]","['19820414', 280353]","['19881011', 275495]","['19860724', 290336]","['19881023', 279722]","['19890930', 313619]","['19840924', 329611]","['19830401', 225269]","['19820823', 375616]","['19820326', 190185]","['19890618', 364627]","['19860531', 103363]","['19830831', 335013]","['19871215', 314746]","['19840101', 176477]","['19850209', 292571]","['19831121', 326263]","['19871215', 207975]","['19890610', 207383]","['19850228', 11301]","['19820131', 78699]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,"['19880311', 230835]","['19860724', 185302]","['19830804', 299307]","['19860516', 253428]","['19860520', 263975]","['19830601', 302189]","['19830401', 220657]","['19840131', 71575]","['19820815', 299521]","['19871214', 395706]","['19860507', 273764]","['19830630', 149513]","['19890301', 11344]","['19890901', 118513]","['19820416', 264054]","['19831109', 222822]","['19890322', 251497]","['19820326', 206261]","['19860731', 74869]","['19830831', 174246]","['19830401', 163071]","['19860730', 203485]","['19860531', 324665]","['19820304', 257063]","['19880302', 275003]","['19871214', 278845]","['19890615', 262669]","['19881001', 86974]","['19850221', 219209]","['19890130', 105302]","['19831109', 198762]","['19860501', 17895]","['19850101', 62127]","['19890616', 254055]","['19890918', 290409]","['19890301', 54957]","['19821111', 238514]","['19890603', 257146]","['19840930', 265694]","['19890918', 293847]","['19880430', 63494]","['19840102', 221974]","['19880406', 189631]","['19820417', 237730]","['19830407', 215349]","['19860731', 158118]","['19831130', 275163]","['19830606', 333066]","['19880301', 66091]","['19890930', 34220]","['19831112', 244141]","['19821217', 262325]","['19820831', 103826]","['19820430', 15450]","['19820122', 228631]","['19821101', 136662]","['19860731', 146656]","['19880417', 197133]","['19830616', 314331]","['19881012', 265429]","['19860512', 231538]","['19881031', 212651]","['19860516', 228760]","['19831005', 265740]","['19880311', 230727]","['19890601', 240073]","['19890601', 298531]","['19871231', 114699]","['19831126', 147565]","['19890609', 201275]","['19850221', 234242]","['19880731', 105842]","['19890605', 305639]","['19860701', 233261]","['19881017', 237028]","['19831109', 187530]","['19880301', 433285]","['19880301', 393482]","['19860517', 235447]","['19890915', 298050]","['19890415', 203692]","['19890930', 215342]","['19860727', 282033]","['19861024', 228534]","['19831002', 241737]","['19861001', 169117]","['19830401', 225269]","['19840901', 279619]","['19890403', 188096]","['19870701', 124470]","['19860531', 103363]","['19820826', 324839]","['19871214', 314378]","['19840101', 176477]","['19880301', 131666]","['19831125', 304298]","['19871215', 207975]","['19890610', 207383]","['19850228', 11301]","['19820131', 78699]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,"['19880311', 230835]","['19860724', 185302]","['19870731', 138873]","['19860516', 253428]","['19860520', 263975]","['19830601', 302189]","['19830401', 220657]","['19840131', 71575]","['19860731', 269059]","['19890101', 317757]","['19860507', 273764]","['19830630', 149513]","['19890301', 11344]","['19890901', 118513]","['19820412', 237725]","['19831109', 222822]","['19820317', 223936]","['19820326', 206261]","['19860731', 74869]","['19830831', 174246]","['19830401', 163071]","['19860730', 203485]","['19860531', 324665]","['19820304', 257063]","['19880302', 275003]","['19871214', 278845]","['19890615', 262669]","['19881001', 86974]","['19850221', 219209]","['19890130', 105302]","['19831109', 198762]","['19860501', 17895]","['19850101', 62127]","['19890616', 254055]","['19890918', 290409]","['19890301', 54957]","['19871031', 215251]","['19890603', 257146]","['19840930', 265694]","['19890918', 293847]","['19880430', 63494]","['19840102', 221974]","['19880406', 189631]","['19820415', 232204]","['19830407', 215349]","['19860731', 158118]","['19831130', 275163]","['19830606', 333066]","['19880301', 66091]","['19890930', 34220]","['19831112', 244141]","['19821217', 262325]","['19820831', 103826]","['19820430', 15450]","['19840121', 212586]","['19821101', 136662]","['19860731', 146656]","['19880417', 197133]","['19830616', 314331]","['19890930', 247478]","['19860512', 231538]","['19881031', 212651]","['19860516', 228760]","['19861008', 263908]","['19880311', 230727]","['19890601', 240073]","['19890601', 298531]","['19871231', 114699]","['19831126', 147565]","['19890609', 201275]","['19850221', 234242]","['19880731', 105842]","['19890605', 305639]","['19860701', 233261]","['19881017', 237028]","['19831109', 187530]","['19830401', 352924]","['19830401', 329004]","['19860517', 235447]","['19890915', 298050]","['19890415', 203692]","['19890930', 215342]","['19860727', 282033]","['19861024', 228534]","['19831002', 241737]","['19861001', 169117]","['19830401', 225269]","['19840901', 279619]","['19890403', 188096]","['19870701', 124470]","['19860531', 103363]","['19820826', 324839]","['19820101', 293369]","['19840101', 176477]","['19880301', 131666]","['19831125', 304298]","['19871215', 207975]","['19890610', 207383]","['19850228', 11301]","['19820131', 78699]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,"['19820315', 277030]","['19880725', 299098]","['19820731', 424157]","['19821212', 794718]","['19830604', 567241]","['19821214', 662961]","['19830405', 236371]","['19840130', 82266]","['19830819', 484280]","['19871228', 543687]","['19820425', 436592]","['19870702', 393112]","['19890301', 11344]","['19890901', 118513]","['19821208', 1554075]","['19861108', 276297]","['19890401', 263993]","['19820321', 212457]","['19860731', 74869]","['19820827', 307013]","['19880314', 391586]","['19890727', 297599]","['19830613', 443546]","['19820304', 257063]","['19820306', 277589]","['19821211', 410644]","['19890615', 262669]","['19840922', 297340]","['19850205', 248924]","['19850228', 282324]","['19831108', 201562]","['19860501', 17895]","['19821222', 515299]","['19890616', 254055]","['19840918', 330966]","['19850226', 235572]","['19831120', 393603]","['19890601', 265947]","['19871003', 297643]","['19890920', 299949]","['19890430', 250704]","['19820103', 345391]","['19880410', 201600]","['19860501', 238079]","['19820405', 372374]","['19820729', 431751]","['19831130', 275163]","['19830618', 497807]","['19850220', 313221]","['19890929', 50916]","['19861115', 456649]","['19821215', 273732]","['19820831', 103826]","['19820430', 15450]","['19820120', 231973]","['19821101', 136662]","['19820729', 414565]","['19880424', 222197]","['19830614', 334314]","['19881018', 302725]","['19821210', 568748]","['19821115', 581977]","['19821209', 668967]","['19831004', 266525]","['19880315', 253509]","['19830605', 473106]","['19830603', 446543]","['19821220', 579953]","['19831124', 155969]","['19890611', 214909]","['19820127', 290947]","['19830809', 583442]","['19830611', 466132]","['19820702', 238340]","['19831013', 321941]","['19861105', 288992]","['19850123', 567552]","['19880309', 423377]","['19830601', 601845]","['19820828', 328304]","['19820409', 302332]","['19881017', 296304]","['19820713', 394266]","['19831022', 260992]","['19831002', 241737]","['19820830', 404216]","['19880318', 253043]","['19820823', 375616]","['19820324', 200082]","['19830627', 377216]","['19860531', 103363]","['19890912', 410029]","['19821207', 592696]","['19821216', 384646]","['19850201', 390198]","['19831124', 310293]","['19821210', 405183]","['19890613', 228977]","['19850228', 11301]","['19820131', 78699]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,"['19880311', 230835]","['19820718', 260305]","['19830815', 371166]","['19820430', 565383]","['19860506', 478050]","['19830601', 302189]","['19830401', 220657]","['19840131', 71575]","['19820815', 299521]","['19871218', 411974]","['19880430', 292893]","['19870704', 379460]","['19890301', 11344]","['19890901', 118513]","['19860501', 391724]","['19831113', 244917]","['19890331', 255840]","['19820323', 208417]","['19860731', 74869]","['19830831', 174246]","['19880319', 371202]","['19880730', 261033]","['19890601', 326200]","['19820304', 257063]","['19820306', 277589]","['19871220', 350468]","['19890615', 262669]","['19840923', 287549]","['19850221', 219209]","['19850225', 278663]","['19831109', 198762]","['19860501', 17895]","['19890101', 215145]","['19890616', 254055]","['19890919', 290455]","['19890301', 54957]","['19861111', 293373]","['19890603', 257146]","['19871004', 297227]","['19890918', 293847]","['19880430', 63494]","['19840102', 221974]","['19880407', 190676]","['19860501', 238079]","['19830409', 216431]","['19820806', 362834]","['19831130', 275163]","['19890607', 333190]","['19880301', 66091]","['19890930', 34220]","['19831118', 310723]","['19821217', 262325]","['19820831', 103826]","['19820430', 15450]","['19820122', 228631]","['19821101', 136662]","['19860731', 146656]","['19880420', 201624]","['19830616', 314331]","['19881014', 272273]","['19860505', 294001]","['19831117', 334682]","['19830601', 621462]","['19831005', 265740]","['19880311', 230727]","['19830605', 473106]","['19830603', 446543]","['19820101', 303917]","['19831125', 149758]","['19890609', 201275]","['19820131', 254017]","['19880731', 105842]","['19890604', 308010]","['19820704', 233630]","['19881011', 300493]","['19831109', 187530]","['19880307', 440256]","['19880305', 407833]","['19860506', 359211]","['19820831', 313894]","['19820411', 293385]","['19881014', 289976]","['19860723', 295037]","['19831026', 254817]","['19831002', 241737]","['19820830', 404216]","['19830401', 225269]","['19840905', 306705]","['19820327', 189364]","['19890617', 368484]","['19860531', 103363]","['19840916', 400561]","['19871222', 328280]","['19821222', 348570]","['19880303', 144604]","['19831125', 304298]","['19871222', 238023]","['19890610', 207383]","['19850228', 11301]","['19820131', 78699]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,"['19880311', 230835]","['19860724', 185302]","['19830804', 299307]","['19860516', 253428]","['19860520', 263975]","['19830601', 302189]","['19830401', 220657]","['19840131', 71575]","['19820815', 299521]","['19871214', 395706]","['19880430', 292893]","['19830630', 149513]","['19890301', 11344]","['19890901', 118513]","['19820418', 285462]","['19831109', 222822]","['19820317', 223936]","['19820326', 206261]","['19860731', 74869]","['19830831', 174246]","['19830401', 163071]","['19860730', 203485]","['19860531', 324665]","['19820304', 257063]","['19880302', 275003]","['19871214', 278845]","['19890615', 262669]","['19881001', 86974]","['19850221', 219209]","['19890130', 105302]","['19831109', 198762]","['19860501', 17895]","['19850101', 62127]","['19890616', 254055]","['19890918', 290409]","['19890301', 54957]","['19871031', 215251]","['19890603', 257146]","['19840930', 265694]","['19890918', 293847]","['19880430', 63494]","['19840102', 221974]","['19880406', 189631]","['19860501', 238079]","['19830407', 215349]","['19860731', 158118]","['19831130', 275163]","['19830606', 333066]","['19880301', 66091]","['19890930', 34220]","['19831112', 244141]","['19821217', 262325]","['19820831', 103826]","['19820430', 15450]","['19840121', 212586]","['19821101', 136662]","['19860731', 146656]","['19880417', 197133]","['19830616', 314331]","['19881012', 265429]","['19860512', 231538]","['19881031', 212651]","['19860516', 228760]","['19861008', 263908]","['19880311', 230727]","['19890601', 240073]","['19890601', 298531]","['19820110', 276500]","['19831126', 147565]","['19890609', 201275]","['19850221', 234242]","['19880731', 105842]","['19890605', 305639]","['19860701', 233261]","['19881017', 237028]","['19831109', 187530]","['19880301', 433285]","['19880301', 393482]","['19860517', 235447]","['19890915', 298050]","['19890415', 203692]","['19881011', 275495]","['19860727', 282033]","['19861024', 228534]","['19831002', 241737]","['19861001', 169117]","['19830401', 225269]","['19840901', 279619]","['19890403', 188096]","['19870701', 124470]","['19860531', 103363]","['19820826', 324839]","['19871214', 314378]","['19840101', 176477]","['19880301', 131666]","['19831125', 304298]","['19871215', 207975]","['19890610', 207383]","['19850228', 11301]","['19820131', 78699]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,"['19880311', 230835]","['19860724', 185302]","['19870731', 138873]","['19860516', 253428]","['19860520', 263975]","['19830601', 302189]","['19830401', 220657]","['19840131', 71575]","['19860731', 269059]","['19890101', 317757]","['19860507', 273764]","['19830630', 149513]","['19890301', 11344]","['19890901', 118513]","['19820412', 237725]","['19831109', 222822]","['19820317', 223936]","['19820326', 206261]","['19860731', 74869]","['19830831', 174246]","['19830401', 163071]","['19860730', 203485]","['19860531', 324665]","['19820304', 257063]","['19880302', 275003]","['19871214', 278845]","['19890615', 262669]","['19881001', 86974]","['19850221', 219209]","['19890130', 105302]","['19831109', 198762]","['19860501', 17895]","['19850101', 62127]","['19890616', 254055]","['19890918', 290409]","['19890301', 54957]","['19871031', 215251]","['19890603', 257146]","['19840930', 265694]","['19890918', 293847]","['19880430', 63494]","['19840102', 221974]","['19880406', 189631]","['19820415', 232204]","['19830407', 215349]","['19860731', 158118]","['19831130', 275163]","['19830606', 333066]","['19880301', 66091]","['19890930', 34220]","['19831112', 244141]","['19821217', 262325]","['19820831', 103826]","['19820430', 15450]","['19840121', 212586]","['19821101', 136662]","['19860731', 146656]","['19880417', 197133]","['19830616', 314331]","['19890930', 247478]","['19860512', 231538]","['19881031', 212651]","['19860516', 228760]","['19861008', 263908]","['19880311', 230727]","['19890601', 240073]","['19890601', 298531]","['19871231', 114699]","['19831126', 147565]","['19890609', 201275]","['19850221', 234242]","['19880731', 105842]","['19890605', 305639]","['19860701', 233261]","['19881017', 237028]","['19831109', 187530]","['19830401', 352924]","['19830401', 329004]","['19860517', 235447]","['19890915', 298050]","['19890415', 203692]","['19890930', 215342]","['19860727', 282033]","['19861024', 228534]","['19831002', 241737]","['19861001', 169117]","['19830401', 225269]","['19840901', 279619]","['19890403', 188096]","['19870701', 124470]","['19860531', 103363]","['19820826', 324839]","['19820101', 293369]","['19840101', 176477]","['19880301', 131666]","['19831125', 304298]","['19871215', 207975]","['19890610', 207383]","['19850228', 11301]","['19820131', 78699]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,"['19890116', 733448]","['19860729', 225987]","['19830815', 371166]","['19821212', 794718]","['19860505', 505343]","['19821212', 655960]","['19820325', 353728]","['19840131', 71575]","['19820825', 339730]","['19871230', 608965]","['19820429', 391527]","['19870703', 382860]","['19890301', 11344]","['19890909', 198649]","['19821208', 1554075]","['19831114', 264228]","['19890402', 269254]","['19820317', 229160]","['19860726', 202341]","['19840906', 316780]","['19880322', 389506]","['19820727', 303402]","['19890610', 398254]","['19890302', 385056]","['19880312', 300710]","['19821213', 418515]","['19890616', 263082]","['19890905', 518960]","['19890129', 345517]","['19890302', 145212]","['19861026', 426314]","['19860501', 17895]","['19821221', 520949]","['19890621', 296787]","['19890906', 331961]","['19890301', 54957]","['19861117', 344240]","['19890603', 257146]","['19881008', 328963]","['19890903', 313040]","['19830430', 473062]","['19840102', 221974]","['19880411', 209948]","['19860501', 238079]","['19880415', 309016]","['19830811', 485929]","['19831129', 279858]","['19890611', 360591]","['19880301', 66091]","['19890929', 50916]","['19831117', 294175]","['19821216', 264295]","['19830829', 288901]","['19820430', 15450]","['19820119', 238860]","['19861021', 335986]","['19830806', 473241]","['19890425', 227560]","['19830614', 334314]","['19881016', 273103]","['19821210', 568748]","['19831114', 274622]","['19821212', 685521]","['19881004', 497296]","['19880320', 272087]","['19860506', 779876]","['19830603', 446543]","['19821222', 550012]","['19831123', 161788]","['19890616', 297138]","['19890314', 327528]","['19830817', 527809]","['19890605', 305639]","['19820704', 233630]","['19831023', 319550]","['19831110', 188127]","['19890121', 759604]","['19850124', 556495]","['19821208', 752590]","['19820828', 328304]","['19820407', 309184]","['19881016', 294408]","['19820723', 315747]","['19831024', 256705]","['19840922', 401225]","['19820821', 480881]","['19880329', 332924]","['19830830', 390107]","['19820326', 190185]","['19830622', 387108]","['19860531', 103363]","['19820810', 475280]","['19871229', 443678]","['19821217', 371025]","['19850216', 310869]","['19831123', 316502]","['19871230', 382991]","['19890618', 312203]","['19850228', 11301]","['19820305', 160489]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,"['19880319', 260146]","['19860724', 185302]","['19830812', 364128]","['19820430', 565383]","['19860520', 263975]","['19830601', 302189]","['19830401', 220657]","['19840131', 71575]","['19820815', 299521]","['19871218', 411974]","['19830430', 313561]","['19870704', 379460]","['19890301', 11344]","['19890901', 118513]","['19860501', 391724]","['19831113', 244917]","['19820317', 223936]","['19820322', 209112]","['19860731', 74869]","['19830831', 174246]","['19880319', 371202]","['19860730', 203485]","['19890604', 340377]","['19820304', 257063]","['19880309', 278947]","['19871222', 357696]","['19890615', 262669]","['19881001', 86974]","['19820304', 231033]","['19890130', 105302]","['19831104', 265512]","['19860501', 17895]","['19850101', 62127]","['19890616', 254055]","['19840916', 322861]","['19890301', 54957]","['19831116', 301840]","['19890603', 257146]","['19840930', 265694]","['19890914', 308787]","['19880430', 63494]","['19840102', 221974]","['19880409', 196727]","['19860501', 238079]","['19830407', 215349]","['19860726', 321779]","['19831130', 275163]","['19890607', 333190]","['19880301', 66091]","['19890930', 34220]","['19831114', 247703]","['19821217', 262325]","['19820831', 103826]","['19820430', 15450]","['19820120', 231973]","['19821101', 136662]","['19860729', 188193]","['19890424', 223391]","['19830616', 314331]","['19881013', 268321]","['19860501', 383650]","['19881031', 212651]","['19820430', 540755]","['19831004', 266525]","['19880315', 253509]","['19890601', 240073]","['19830603', 446543]","['19820101', 303917]","['19831124', 155969]","['19890612', 225465]","['19820309', 262700]","['19820815', 377410]","['19890605', 305639]","['19820704', 233630]","['19881014', 263492]","['19831110', 188127]","['19840131', 446157]","['19820311', 432352]","['19860502', 463970]","['19820829', 321913]","['19890419', 225279]","['19890930', 215342]","['19860720', 298647]","['19831026', 254817]","['19831002', 241737]","['19861002', 183362]","['19880327', 311707]","['19840901', 279619]","['19820327', 189364]","['19890618', 364627]","['19860531', 103363]","['19820824', 332969]","['19871217', 324293]","['19871231', 289845]","['19880301', 131666]","['19831125', 304298]","['19871217', 220737]","['19890613', 228977]","['19850228', 11301]","['19820131', 78699]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,"['19880311', 230835]","['19860724', 185302]","['19870731', 138873]","['19860516', 253428]","['19860520', 263975]","['19830601', 302189]","['19830401', 220657]","['19840131', 71575]","['19820815', 299521]","['19871214', 395706]","['19860507', 273764]","['19830630', 149513]","['19890301', 11344]","['19890901', 118513]","['19820422', 317739]","['19831109', 222822]","['19820317', 223936]","['19820326', 206261]","['19860731', 74869]","['19830831', 174246]","['19880304', 359525]","['19860730', 203485]","['19860531', 324665]","['19820304', 257063]","['19880302', 275003]","['19871214', 278845]","['19890615', 262669]","['19881001', 86974]","['19850221', 219209]","['19890130', 105302]","['19831109', 198762]","['19860501', 17895]","['19850101', 62127]","['19890616', 254055]","['19890918', 290409]","['19890301', 54957]","['19871031', 215251]","['19890603', 257146]","['19840930', 265694]","['19890918', 293847]","['19880430', 63494]","['19840102', 221974]","['19880406', 189631]","['19860501', 238079]","['19830407', 215349]","['19860731', 158118]","['19831130', 275163]","['19830606', 333066]","['19880301', 66091]","['19890930', 34220]","['19831112', 244141]","['19821217', 262325]","['19820831', 103826]","['19820430', 15450]","['19840121', 212586]","['19821101', 136662]","['19860731', 146656]","['19880417', 197133]","['19830616', 314331]","['19890930', 247478]","['19860512', 231538]","['19881031', 212651]","['19860516', 228760]","['19861008', 263908]","['19880311', 230727]","['19890601', 240073]","['19890601', 298531]","['19820110', 276500]","['19831126', 147565]","['19890609', 201275]","['19850221', 234242]","['19880731', 105842]","['19890605', 305639]","['19820704', 233630]","['19881017', 237028]","['19831109', 187530]","['19880307', 440256]","['19880304', 405672]","['19860517', 235447]","['19890915', 298050]","['19890415', 203692]","['19890930', 215342]","['19860727', 282033]","['19861024', 228534]","['19831002', 241737]","['19861001', 169117]","['19830401', 225269]","['19840901', 279619]","['19890403', 188096]","['19870701', 124470]","['19860531', 103363]","['19820826', 324839]","['19871214', 314378]","['19840101', 176477]","['19880301', 131666]","['19831125', 304298]","['19871215', 207975]","['19890610', 207383]","['19850228', 11301]","['19820131', 78699]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
