,dense,channel,extract_num,error,encoding_t,sampling_t,extract_t,compare_t,total_t,calc_total
256,64,32,0.1,0,0.007,1.253,0.102,6.21,7.58,6.312
256,64,32,1.0,0,0.004,1.248,0.101,35.687,37.049,35.788
256,128,32,0.1,0,0.012,1.387,0.108,5.825,7.341,5.933
256,128,32,1.0,0,0.01,1.384,0.11,36.225,37.738,36.335
256,256,32,0.1,0,0.025,1.635,0.125,5.708,7.501,5.833
256,256,32,1.0,0,0.02,1.639,0.124,35.984,37.777,36.108
64,64,32,0.1,0,0.005,1.269,0.101,5.976,7.358,6.077
64,64,32,1.0,0,0.004,1.25,0.1,35.899,37.263,35.999
64,128,32,0.1,0,0.011,1.388,0.108,5.638,7.154,5.746
64,128,32,1.0,0,0.009,1.374,0.107,36.504,38.003,36.611
64,256,32,0.1,0,0.025,1.623,0.122,5.703,7.481,5.825
64,256,32,1.0,0,0.019,1.631,0.122,36.095,37.877,36.217
16,64,32,0.1,0,0.005,1.254,0.099,5.978,7.344,6.077
16,64,32,1.0,0,0.005,1.254,0.099,35.843,37.208,35.942
16,128,32,0.1,0,0.009,1.378,0.107,5.778,7.281,5.885
16,128,32,1.0,0,0.009,1.376,0.107,36.448,37.948,36.555
16,256,32,0.1,0,0.024,1.627,0.122,5.917,7.7,6.039
16,256,32,1.0,0,0.017,1.631,0.122,36.267,38.045,36.389
4,64,32,0.1,0,0.005,1.249,0.099,5.764,7.125,5.863
4,64,32,1.0,0,0.004,1.257,0.099,36.298,37.668,36.397
4,128,32,0.1,0,0.011,1.38,0.106,5.727,7.232,5.833
4,128,32,1.0,0,0.009,1.4,0.108,36.26,37.787,36.368
4,256,32,0.1,0,0.231,1.68,0.122,5.864,7.905,5.986
4,256,32,1.0,0,0.02,1.67,0.122,36.208,38.029,36.33
256,64,32,0.1,0,0.005,1.215,0.103,5.973,7.315,6.076
256,64,32,1.0,0,0.005,1.203,0.103,36.456,37.8,36.559000000000005
256,128,32,0.1,0,0.011,1.4,0.113,5.933,7.487,6.046
256,128,32,1.0,0,0.009,1.401,0.112,36.418,37.974,36.53
256,256,32,0.1,0,0.023,1.841,0.133,5.685,7.711,5.818
256,256,32,1.0,0,0.017,1.83,0.132,36.602,38.612,36.734
64,64,32,0.1,0,0.005,1.215,0.103,5.692,7.044,5.795
64,64,32,1.0,0,0.004,1.207,0.102,36.401,37.745,36.503
64,128,32,0.1,0,0.009,1.415,0.113,5.992,7.559,6.105
64,128,32,1.0,0,0.009,1.408,0.113,36.244,37.804,36.357
64,256,32,0.1,0,0.023,1.832,0.134,5.917,7.94,6.051
64,256,32,1.0,0,0.017,1.833,0.133,36.425,38.437,36.558
16,64,32,0.1,0,0.005,1.205,0.106,5.848,7.194,5.954
16,64,32,1.0,0,0.005,1.204,0.103,36.288,37.632,36.391
16,128,32,0.1,0,0.011,1.407,0.112,6.011,7.572,6.123
16,128,32,1.0,0,0.009,1.404,0.113,36.347,37.905,36.46
16,256,32,0.1,0,0.019,1.837,0.133,5.743,7.765,5.876
16,256,32,1.0,0,0.02,1.832,0.135,36.493,38.511,36.628
4,64,32,0.1,0,0.006,1.209,0.103,5.736,7.083,5.839
4,64,32,1.0,0,0.005,1.21,0.104,36.38,37.731,36.484
4,128,32,0.1,0,0.011,1.418,0.113,5.953,7.526,6.066000000000001
