,dense,channel,extract_num,error,encoding_t,sampling_t,extract_t,compare_t,total_t,calc_total
4,128,32,1.0,0,0.009,1.417,0.113,36.365,37.937,36.478
4,256,32,0.1,0,0.022,1.84,0.134,5.644,7.671,5.7780000000000005
4,256,32,1.0,0,0.017,1.835,0.137,36.229,38.249,36.366
256,64,32,0.1,0,0.006,1.277,0.097,6.056,7.461,6.1530000000000005
256,64,32,1.0,0,0.005,1.28,0.097,36.569,37.977,36.666
256,128,32,0.1,0,0.009,1.486,0.104,5.729,7.353,5.833
256,128,32,1.0,0,0.011,1.485,0.103,36.377,38.0,36.48
256,256,32,0.1,0,0.022,1.914,0.117,6.093,8.171,6.21
256,256,32,1.0,0,0.017,1.912,0.117,36.201,38.27,36.318
64,64,32,0.1,0,0.005,1.277,0.097,5.913,7.318,6.010000000000001
64,64,32,1.0,0,0.005,1.277,0.098,36.514,37.918,36.612
64,128,32,0.1,0,0.011,1.482,0.103,5.816,7.437,5.919
64,128,32,1.0,0,0.009,1.477,0.106,36.347,37.967,36.453
64,256,32,0.1,0,0.023,1.906,0.117,6.017,8.088,6.134
64,256,32,1.0,0,0.017,1.919,0.117,36.359,38.44,36.476
16,64,32,0.1,0,0.006,1.281,0.097,5.746,7.155,5.843000000000001
16,64,32,1.0,0,0.005,1.303,0.098,36.463,37.896,36.561
16,128,32,0.1,0,0.011,1.493,0.103,5.77,7.403,5.872999999999999
16,128,32,1.0,0,0.009,1.489,0.103,36.346,37.976,36.449
16,256,32,0.1,0,0.022,1.921,0.118,6.023,8.109,6.141
16,256,32,1.0,0,0.017,1.9,0.118,35.909,37.97,36.027
4,64,32,0.1,0,0.006,1.272,0.097,5.757,7.157,5.854
4,64,32,1.0,0,0.005,1.281,0.097,36.566,37.975,36.663
4,128,32,0.1,0,0.009,1.475,0.103,5.718,7.33,5.821
4,128,32,1.0,0,0.011,1.475,0.106,36.401,38.019,36.507000000000005
4,256,32,0.1,0,0.022,1.95,0.119,6.039,8.155,6.158
4,256,32,1.0,0,0.017,1.947,0.118,35.886,37.993,36.004000000000005
256,64,32,0.1,0,0.006,1.178,0.107,5.983,7.303,6.09
256,64,32,1.0,0,0.006,1.389,0.106,36.431,37.961,36.537
256,128,32,0.1,0,0.009,1.432,0.117,5.872,7.462,5.989
256,128,32,1.0,0,0.009,1.416,0.118,36.469,38.041,36.587
256,256,32,0.1,0,0.023,1.835,0.156,5.803,7.845,5.959
256,256,32,1.0,0,0.017,1.841,0.157,36.042,38.088,36.199
64,64,32,0.1,0,0.005,1.185,0.106,5.96,7.286,6.066
64,64,32,1.0,0,0.004,1.183,0.108,36.515,37.842,36.623
64,128,32,0.1,0,0.011,1.435,0.117,5.717,7.31,5.834
64,128,32,1.0,0,0.009,1.438,0.118,36.603,38.198,36.721
64,256,32,0.1,0,0.019,1.851,0.156,5.714,7.769,5.87
64,256,32,1.0,0,0.017,1.827,0.156,36.084,38.116,36.24
16,64,32,0.1,0,0.006,1.184,0.107,5.978,7.304,6.085
16,64,32,1.0,0,0.005,1.179,0.108,36.376,37.698,36.484
16,128,32,0.1,0,0.011,1.43,0.117,5.735,7.323,5.852
16,128,32,1.0,0,0.009,1.437,0.117,36.57,38.166,36.687
16,256,32,0.1,0,0.022,1.823,0.155,5.697,7.727,5.852
16,256,32,1.0,0,0.017,1.805,0.157,36.116,38.125,36.273
4,64,32,0.1,0,0.005,1.182,0.106,6.051,7.374,6.157
4,64,32,1.0,0,0.005,1.173,0.106,36.413,37.726,36.519
4,128,32,0.1,0,0.011,1.421,0.117,5.834,7.414,5.951
4,128,32,1.0,0,0.009,1.438,0.118,36.625,38.221,36.743
4,256,32,0.1,0,0.023,1.809,0.15,5.739,7.75,5.889
4,256,32,1.0,0,0.017,1.813,0.15,36.175,38.188,36.325
256,64,32,0.1,0,0.005,1.234,0.101,6.057,7.43,6.158
256,64,32,1.0,0,0.005,1.239,0.101,36.355,37.736,36.456
256,128,32,0.1,0,0.011,1.417,0.11,6.057,7.632,6.167000000000001
256,128,32,1.0,0,0.009,1.485,0.11,36.27,37.911,36.38
256,256,32,0.1,0,0.019,1.656,0.127,5.746,7.584,5.873
256,256,32,1.0,0,0.017,1.892,0.126,35.984,38.055,36.11
64,64,32,0.1,0,0.006,1.456,0.1,5.786,7.382,5.885999999999999
64,64,32,1.0,0,0.005,1.232,0.101,36.451,37.823,36.552
64,128,32,0.1,0,0.011,1.401,0.109,5.933,7.489,6.042
64,128,32,1.0,0,0.009,1.485,0.109,36.388,38.028,36.497
64,256,32,0.1,0,0.023,1.635,0.127,5.757,7.575,5.884
64,256,32,1.0,0,0.017,1.878,0.127,36.22,38.276,36.347
16,64,32,0.1,0,0.005,1.238,0.102,5.835,7.213,5.937
16,64,32,1.0,0,0.005,1.232,0.1,36.275,37.645,36.375
16,128,32,0.1,0,0.011,1.404,0.109,6.043,7.603,6.152
16,128,32,1.0,0,0.009,1.489,0.11,36.313,37.955,36.423
16,256,32,0.1,0,0.023,1.654,0.126,5.734,7.573,5.86
16,256,32,1.0,0,0.017,1.865,0.126,36.128,38.173,36.254
4,64,32,0.1,0,0.006,1.246,0.101,5.743,7.132,5.844
4,64,32,1.0,0,0.005,1.234,0.101,36.247,37.622,36.348
4,128,32,0.1,0,0.011,1.411,0.11,6.1,7.666,6.21
4,128,32,1.0,0,0.009,1.484,0.11,36.172,37.811,36.282
4,256,32,0.1,0,0.019,1.648,0.127,5.759,7.588,5.886
4,256,32,1.0,0,0.017,1.881,0.127,36.051,38.112,36.178
256,64,32,0.1,0,0.006,1.253,0.099,6.012,7.408,6.111
256,64,32,1.0,0,0.005,1.264,0.1,36.647,38.055,36.747
256,128,32,0.1,0,0.011,1.432,0.107,5.651,7.239,5.758
256,128,32,1.0,0,0.009,1.5,0.107,36.194,37.852,36.301
256,256,32,0.1,0,0.023,1.67,0.124,5.972,7.826,6.096
256,256,32,1.0,0,0.017,1.891,0.127,36.154,38.229,36.281000000000006
64,64,32,0.1,0,0.005,1.247,0.1,5.669,7.058,5.768999999999999
64,64,32,1.0,0,0.006,1.256,0.099,36.398,37.795,36.497
64,128,32,0.1,0,0.01,1.431,0.108,5.819,7.406,5.927
64,128,32,1.0,0,0.009,1.505,0.107,36.1,37.758,36.207
64,256,32,0.1,0,0.023,1.667,0.123,6.139,7.993,6.2620000000000005
64,256,32,1.0,0,0.017,1.908,0.124,35.993,38.08,36.117
16,64,32,0.1,0,0.006,1.246,0.099,5.816,7.205,5.915
16,64,32,1.0,0,0.005,1.252,0.099,36.141,37.537,36.24
16,128,32,0.1,0,0.011,1.642,0.107,5.815,7.613,5.922000000000001
16,128,32,1.0,0,0.009,1.505,0.107,36.131,37.794,36.238
16,256,32,0.1,0,0.019,1.673,0.123,5.998,7.852,6.121
16,256,32,1.0,0,0.02,1.927,0.125,36.081,38.194,36.206
4,64,32,0.1,0,0.006,1.252,0.099,5.701,7.096,5.8
4,64,32,1.0,0,0.005,1.258,0.102,36.494,37.9,36.596
4,128,32,0.1,0,0.011,1.429,0.107,5.686,7.272,5.793
4,128,32,1.0,0,0.009,1.505,0.107,36.234,37.896,36.341
4,256,32,0.1,0,0.023,1.664,0.123,6.023,7.872,6.146
4,256,32,1.0,0,0.017,1.891,0.123,36.138,38.209,36.261
256,64,32,0.1,0,0.006,1.237,0.101,6.217,7.601,6.318
256,64,32,1.0,0,0.005,1.227,0.104,36.24,37.62,36.344
256,128,32,0.1,0,0.009,1.409,0.109,5.656,7.224,5.765
256,128,32,1.0,0,0.011,1.497,0.109,36.455,38.113,36.564
256,256,32,0.1,0,0.022,1.654,0.127,5.803,7.648,5.93
256,256,32,1.0,0,0.017,1.903,0.127,35.979,38.067,36.106
64,64,32,0.1,0,0.005,1.233,0.1,6.174,7.555,6.274
64,64,32,1.0,0,0.005,1.23,0.101,36.072,37.45,36.173
64,128,32,0.1,0,0.011,1.415,0.109,5.836,7.412,5.945
64,128,32,1.0,0,0.009,1.501,0.109,36.395,38.058,36.504000000000005
64,256,32,0.1,0,0.019,1.655,0.126,5.749,7.59,5.875
64,256,32,1.0,0,0.017,1.891,0.127,36.142,38.22,36.269000000000005
16,64,32,0.1,0,0.006,1.237,0.105,5.768,7.158,5.873
16,64,32,1.0,0,0.005,1.444,0.1,36.238,37.831,36.338
16,128,32,0.1,0,0.011,1.416,0.109,5.653,7.232,5.762
16,128,32,1.0,0,0.009,1.504,0.11,36.561,38.229,36.671
16,256,32,0.1,0,0.022,1.66,0.126,5.624,7.474,5.75
16,256,32,1.0,0,0.017,1.864,0.126,36.272,38.323,36.398
4,64,32,0.1,0,0.005,1.244,0.101,5.949,7.343,6.05
4,64,32,1.0,0,0.005,1.23,0.1,36.132,37.512,36.232
4,128,32,0.1,0,0.009,1.448,0.109,5.718,7.326,5.827
4,128,32,1.0,0,0.009,1.451,0.109,36.431,38.045,36.54
4,256,32,0.1,0,0.022,2.022,0.127,5.824,8.039,5.951
4,256,32,1.0,0,0.017,2.026,0.127,35.986,38.198,36.113
256,64,32,0.1,0,0.005,1.232,0.1,5.953,7.34,6.053
256,64,32,1.0,0,0.005,1.229,0.101,36.156,37.538,36.257
256,128,32,0.1,0,0.011,1.451,0.108,5.807,7.427,5.915
256,128,32,1.0,0,0.217,1.446,0.109,36.194,38.016,36.303
256,256,32,0.1,0,0.019,1.841,0.125,5.748,7.782,5.873
256,256,32,1.0,0,0.019,1.816,0.125,36.34,38.348,36.465
64,64,32,0.1,0,0.005,1.238,0.1,5.719,7.111,5.819
64,64,32,1.0,0,0.005,1.245,0.1,36.029,37.429,36.129000000000005
64,128,32,0.1,0,0.01,1.46,0.108,6.072,7.7,6.18
64,128,32,1.0,0,0.01,1.46,0.108,36.044,37.671,36.152
64,256,32,0.1,0,0.022,1.823,0.125,5.719,7.738,5.844
64,256,32,1.0,0,0.017,1.822,0.125,36.338,38.353,36.463
16,64,32,0.1,0,0.005,1.234,0.1,5.701,7.091,5.800999999999999
16,64,32,1.0,0,0.005,1.242,0.1,36.083,37.479,36.183
16,128,32,0.1,0,0.01,1.461,0.109,5.986,7.614,6.095
16,128,32,1.0,0,0.009,1.465,0.112,36.144,37.781,36.256
16,256,32,0.1,0,0.023,1.809,0.126,5.701,7.707,5.827
16,256,32,1.0,0,0.017,1.813,0.125,36.344,38.348,36.469
4,64,32,0.1,0,0.004,1.236,0.1,5.86,7.25,5.96
4,64,32,1.0,0,0.005,1.232,0.1,35.952,37.336,36.052
4,128,32,0.1,0,0.01,1.455,0.11,6.135,7.761,6.245
4,128,32,1.0,0,0.009,1.461,0.108,36.056,37.685,36.164
4,256,32,0.1,0,0.019,1.86,0.125,5.774,7.83,5.899
4,256,32,1.0,0,0.02,1.83,0.125,36.292,38.319,36.417
256,64,32,0.1,0,0.005,1.253,0.1,6.035,7.443,6.135
256,64,32,1.0,0,0.005,1.25,0.1,36.317,37.726,36.417
256,128,32,0.1,0,0.01,1.473,0.108,5.741,7.383,5.848999999999999
256,128,32,1.0,0,0.009,1.467,0.107,36.075,37.714,36.182
256,256,32,0.1,0,0.023,1.841,0.124,6.043,8.086,6.167
256,256,32,1.0,0,0.017,1.839,0.124,36.008,38.042,36.132000000000005
64,64,32,0.1,0,0.005,1.252,0.1,5.728,7.137,5.827999999999999
64,64,32,1.0,0,0.005,1.253,0.099,36.367,37.778,36.466
64,128,32,0.1,0,0.01,1.469,0.107,5.687,7.324,5.7940000000000005
64,128,32,1.0,0,0.009,1.458,0.107,36.103,37.733,36.21
64,256,32,0.1,0,0.022,1.839,0.124,6.004,8.044,6.127999999999999
64,256,32,1.0,0,0.017,1.84,0.123,36.185,38.222,36.308
16,64,32,0.1,0,0.005,1.306,0.104,5.693,7.165,5.797
16,64,32,1.0,0,0.005,1.305,0.104,36.456,37.928,36.56
16,128,32,0.1,0,0.009,1.537,0.112,5.851,7.567,5.963
16,128,32,1.0,0,0.009,1.53,0.111,36.166,37.872,36.277
16,256,32,0.1,0,0.023,1.902,0.128,6.117,8.227,6.245
16,256,32,1.0,0,0.017,1.916,0.128,35.776,37.896,35.904
4,64,32,0.1,0,0.005,1.317,0.104,6.054,7.538,6.158
4,64,32,1.0,0,0.005,1.306,0.103,36.23,37.704,36.333
4,128,32,0.1,0,0.009,1.524,0.115,5.757,7.463,5.872
4,128,32,1.0,0,0.009,1.525,0.111,36.237,38.171,36.348
4,256,32,0.1,0,0.019,1.898,0.128,5.822,7.924,5.95
4,256,32,1.0,0,0.017,1.705,0.128,36.479,38.39,36.607
256,64,32,0.1,0,0.005,1.31,0.104,6.271,7.753,6.375
256,64,32,1.0,0,0.005,1.326,0.103,36.493,37.993,36.596
256,128,32,0.1,0,0.01,1.469,0.112,6.041,7.693,6.1530000000000005
256,128,32,1.0,0,0.009,1.472,0.111,36.447,38.103,36.558
256,256,32,0.1,0,0.025,1.702,0.128,5.765,7.683,5.893
256,256,32,1.0,0,0.017,1.701,0.127,36.492,38.634,36.619
64,64,32,0.1,0,0.005,1.311,0.104,5.793,7.276,5.897
64,64,32,1.0,0,0.005,1.314,0.107,36.523,38.011,36.63
64,128,32,0.1,0,0.009,1.438,0.111,5.96,7.579,6.071
64,128,32,1.0,0,0.01,1.448,0.111,36.54,38.174,36.651
64,256,32,0.1,0,0.023,1.696,0.128,5.803,7.712,5.931
64,256,32,1.0,0,0.017,1.708,0.128,36.667,38.582,36.795
16,64,32,0.1,0,0.005,1.311,0.103,5.917,7.401,6.02
16,64,32,1.0,0,0.005,1.31,0.104,36.298,37.778,36.402
16,128,32,0.1,0,0.01,1.437,0.111,6.124,7.744,6.234999999999999
16,128,32,1.0,0,0.009,1.444,0.111,36.441,38.069,36.552
16,256,32,0.1,0,0.019,1.919,0.128,5.768,7.898,5.896
16,256,32,1.0,0,0.017,1.916,0.127,36.66,38.783,36.787
4,64,32,0.1,0,0.005,1.312,0.103,5.796,7.278,5.899
4,64,32,1.0,0,0.005,1.31,0.104,36.18,37.664,36.284
4,128,32,0.1,0,0.01,1.44,0.111,5.839,7.684,5.95
4,128,32,1.0,0,0.009,1.442,0.111,36.417,38.044,36.528
4,256,32,0.1,0,0.023,1.708,0.128,5.74,7.663,5.868
4,256,32,1.0,0,0.019,1.701,0.128,36.765,38.677,36.893
256,64,32,0.1,0,0.005,1.316,0.103,6.051,7.541,6.154
256,64,32,1.0,0,0.005,1.321,0.103,36.49,37.986,36.593
256,128,32,0.1,0,0.01,1.447,0.111,5.784,7.418,5.895
256,128,32,1.0,0,0.009,1.441,0.111,36.224,37.853,36.335
256,256,32,0.1,0,0.023,1.902,0.132,6.047,8.17,6.178999999999999
256,256,32,1.0,0,0.017,1.904,0.131,36.413,38.531,36.544
64,64,32,0.1,0,0.006,1.312,0.103,5.767,7.253,5.87
64,64,32,1.0,0,0.005,1.315,0.103,36.526,38.014,36.629000000000005
64,128,32,0.1,0,0.014,1.442,0.111,5.863,7.502,5.974
64,128,32,1.0,0,0.009,1.441,0.111,36.256,37.883,36.367
64,256,32,0.1,0,0.023,1.911,0.128,6.201,8.33,6.329
64,256,32,1.0,0,0.017,1.927,0.127,36.152,38.289,36.279
16,64,32,0.1,0,0.006,1.32,0.103,5.878,7.374,5.981
16,64,32,1.0,0,0.005,1.313,0.103,36.381,37.87,36.484
16,128,32,0.1,0,0.011,1.45,0.111,5.767,7.405,5.878
16,128,32,1.0,0,0.009,1.443,0.111,36.202,37.833,36.313
16,256,32,0.1,0,0.019,1.909,0.127,6.045,8.171,6.172
16,256,32,1.0,0,0.023,1.718,0.127,36.192,38.131,36.319
4,64,32,0.1,0,0.005,1.314,0.103,5.706,7.194,5.809
4,64,32,1.0,0,0.005,1.315,0.103,36.575,38.067,36.678
4,128,32,0.1,0,0.009,1.45,0.111,5.728,7.364,5.839
4,128,32,1.0,0,0.009,1.444,0.11,36.224,37.857,36.334
4,256,32,0.1,0,0.023,1.891,0.127,5.822,8.157,5.949
4,256,32,1.0,0,0.017,1.909,0.128,36.276,38.4,36.404
256,64,32,0.1,0,0.006,1.214,0.104,5.997,7.605,6.101
256,64,32,1.0,0,0.005,1.208,0.108,36.163,37.549,36.271
256,128,32,0.1,0,0.011,1.345,0.114,5.727,7.261,5.841
256,128,32,1.0,0,0.009,1.345,0.114,36.573,38.107,36.687
256,256,32,0.1,0,0.022,1.854,0.135,5.757,7.83,5.892
256,256,32,1.0,0,0.017,1.846,0.134,36.37,38.431,36.504
64,64,32,0.1,0,0.006,1.214,0.104,5.848,7.462,5.952
64,64,32,1.0,0,0.005,1.212,0.104,36.197,37.582,36.301
64,128,32,0.1,0,0.011,1.342,0.117,5.879,7.413,5.996
64,128,32,1.0,0,0.01,1.338,0.114,36.478,38.003,36.592
64,256,32,0.1,0,0.022,1.863,0.134,5.783,7.867,5.917000000000001
64,256,32,1.0,0,0.017,1.84,0.134,36.353,38.411,36.487
16,64,32,0.1,0,0.006,1.212,0.104,5.985,7.371,6.089
16,64,32,1.0,0,0.005,1.215,0.104,36.304,37.694,36.408
16,128,32,0.1,0,0.009,1.344,0.113,5.79,7.321,5.9030000000000005
16,128,32,1.0,0,0.011,1.343,0.114,36.364,37.898,36.478
16,256,32,0.1,0,0.022,1.86,0.134,5.767,7.846,5.901000000000001
16,256,32,1.0,0,0.017,1.831,0.134,36.347,38.396,36.481
4,64,32,0.1,0,0.006,1.214,0.104,6.013,7.403,6.117
4,64,32,1.0,0,0.005,1.211,0.104,36.219,37.604,36.323
4,128,32,0.1,0,0.011,1.339,0.113,5.724,7.254,5.837000000000001
4,128,32,1.0,0,0.009,1.34,0.114,36.576,38.105,36.69
4,256,32,0.1,0,0.022,1.863,0.134,5.716,7.797,5.8500000000000005
4,256,32,1.0,0,0.017,1.86,0.134,36.359,38.436,36.493
256,64,32,0.1,0,0.006,1.233,0.103,6.014,7.427,6.117
256,64,32,1.0,0,0.005,1.234,0.103,36.221,37.631,36.324
256,128,32,0.1,0,0.011,1.355,0.112,6.003,7.549,6.115
256,128,32,1.0,0,0.009,1.351,0.112,36.339,37.883,36.451
256,256,32,0.1,0,0.023,1.706,0.131,5.788,7.718,5.9190000000000005
256,256,32,1.0,0,0.019,1.695,0.13,36.421,38.337,36.551
64,64,32,0.1,0,0.005,1.239,0.104,5.914,7.333,6.018
64,64,32,1.0,0,0.005,1.232,0.102,36.214,37.622,36.316
64,128,32,0.1,0,0.009,1.36,0.112,6.091,7.642,6.203
64,128,32,1.0,0,0.009,1.351,0.111,36.248,37.791,36.359
64,256,32,0.1,0,0.019,1.705,0.13,5.76,7.684,5.89
64,256,32,1.0,0,0.022,1.713,0.13,36.514,38.45,36.644000000000005
16,64,32,0.1,0,0.006,1.234,0.103,5.739,7.15,5.842
16,64,32,1.0,0,0.005,1.24,0.102,36.196,37.615,36.298
16,128,32,0.1,0,0.009,1.36,0.112,6.044,7.592,6.156
16,128,32,1.0,0,0.009,1.355,0.111,36.208,37.756,36.319
16,256,32,0.1,0,0.023,1.707,0.134,5.736,7.669,5.87
16,256,32,1.0,0,0.017,1.706,0.13,36.458,38.384,36.588
4,64,32,0.1,0,0.006,1.232,0.102,5.697,7.108,5.799
4,64,32,1.0,0,0.005,1.248,0.103,36.18,37.605,36.283
4,128,32,0.1,0,0.009,1.355,0.111,6.048,7.592,6.159
4,128,32,1.0,0,0.009,1.353,0.111,36.212,37.756,36.323
4,256,32,0.1,0,0.023,1.698,0.13,5.78,7.929,5.91
4,256,32,1.0,0,0.017,1.699,0.135,36.208,38.13,36.343
256,64,32,0.1,0,0.006,1.221,0.104,5.95,7.578,6.054
256,64,32,1.0,0,0.005,1.215,0.104,36.195,37.593,36.299
256,128,32,0.1,0,0.009,1.34,0.112,5.814,7.352,5.926
256,128,32,1.0,0,0.009,1.344,0.113,36.435,37.974,36.548
256,256,32,0.1,0,0.02,1.691,0.133,5.69,7.608,5.823
256,256,32,1.0,0,0.019,1.687,0.133,36.275,38.192,36.408
64,64,32,0.1,0,0.006,1.222,0.103,5.803,7.428,5.906
64,64,32,1.0,0,0.005,1.225,0.104,36.124,37.537,36.228
64,128,32,0.1,0,0.009,1.344,0.113,5.776,7.313,5.889
64,128,32,1.0,0,0.009,1.346,0.113,36.333,37.881,36.446
64,256,32,0.1,0,0.021,1.694,0.132,5.755,7.675,5.887
64,256,32,1.0,0,0.017,1.684,0.133,36.17,38.079,36.303
16,64,32,0.1,0,0.006,1.225,0.104,5.756,7.39,5.86
16,64,32,1.0,0,0.005,1.222,0.104,36.241,37.647,36.345
16,128,32,0.1,0,0.009,1.341,0.113,5.713,7.254,5.8260000000000005
16,128,32,1.0,0,0.01,1.335,0.113,36.404,37.935,36.517
16,256,32,0.1,0,0.021,1.691,0.133,5.726,7.648,5.859
16,256,32,1.0,0,0.017,1.689,0.134,36.275,38.189,36.409
4,64,32,0.1,0,0.005,1.224,0.103,6.085,7.495,6.188
4,64,32,1.0,0,0.005,1.219,0.103,36.099,37.5,36.202
4,128,32,0.1,0,0.009,1.341,0.112,5.865,7.404,5.977
4,128,32,1.0,0,0.009,1.341,0.113,36.514,38.052,36.627
4,256,32,0.1,0,0.019,1.694,0.132,5.716,7.637,5.848
4,256,32,1.0,0,0.019,1.684,0.132,36.128,38.044,36.26
256,64,32,0.1,0,0.006,1.218,0.104,5.988,7.398,6.0920000000000005
256,64,32,1.0,0,0.005,1.216,0.104,36.241,37.646,36.345
256,128,32,0.1,0,0.009,1.339,0.113,5.749,7.513,5.862
256,128,32,1.0,0,0.009,1.338,0.113,36.257,37.799,36.37
256,256,32,0.1,0,0.019,1.684,0.132,5.774,7.685,5.906
256,256,32,1.0,0,0.019,1.677,0.132,36.474,38.385,36.606
64,64,32,0.1,0,0.006,1.221,0.103,5.759,7.166,5.862
64,64,32,1.0,0,0.005,1.22,0.103,36.251,37.659,36.354
64,128,32,0.1,0,0.009,1.339,0.113,5.983,7.525,6.096
64,128,32,1.0,0,0.009,1.349,0.113,36.331,37.883,36.444
64,256,32,0.1,0,0.021,1.688,0.134,5.72,7.644,5.854
64,256,32,1.0,0,0.019,1.678,0.132,36.44,38.347,36.572
16,64,32,0.1,0,0.005,1.22,0.104,5.767,7.179,5.871
16,64,32,1.0,0,0.005,1.211,0.106,36.319,37.72,36.425
16,128,32,0.1,0,0.009,1.347,0.113,5.971,7.521,6.0840000000000005
16,128,32,1.0,0,0.009,1.339,0.113,36.258,37.798,36.371
16,256,32,0.1,0,0.021,1.693,0.132,5.861,7.791,5.992999999999999
16,256,32,1.0,0,0.017,1.692,0.133,36.538,38.459,36.671
4,64,32,0.1,0,0.006,1.218,0.103,5.84,7.25,5.943
4,64,32,1.0,0,0.005,1.224,0.105,36.24,37.653,36.345
4,128,32,0.1,0,0.009,1.347,0.113,6.011,7.561,6.1240000000000006
4,128,32,1.0,0,0.009,1.339,0.113,36.397,37.939,36.51
4,256,32,0.1,0,0.019,1.685,0.137,5.704,7.622,5.840999999999999
4,256,32,1.0,0,0.019,1.685,0.132,36.482,38.401,36.614
256,64,32,0.1,0,0.005,1.241,0.101,6.081,7.51,6.182
256,64,32,1.0,0,0.005,1.244,0.101,36.343,37.781,36.444
256,128,32,0.1,0,0.009,1.365,0.11,5.831,7.398,5.941000000000001
256,128,32,1.0,0,0.009,1.364,0.11,36.243,37.81,36.353
256,256,32,0.1,0,0.021,1.635,0.129,6.002,7.871,6.131
256,256,32,1.0,0,0.019,1.694,0.129,36.261,38.187,36.39
64,64,32,0.1,0,0.005,1.243,0.102,5.722,7.155,5.824000000000001
64,64,32,1.0,0,0.005,1.241,0.102,36.548,37.977,36.65
64,128,32,0.1,0,0.009,1.364,0.111,5.711,7.279,5.822
64,128,32,1.0,0,0.009,1.356,0.11,36.315,37.871,36.425
64,256,32,0.1,0,0.025,1.693,0.128,5.998,7.933,6.126
64,256,32,1.0,0,0.017,1.704,0.129,36.279,38.21,36.408
16,64,32,0.1,0,0.005,1.242,0.102,5.867,7.301,5.969
16,64,32,1.0,0,0.005,1.455,0.102,36.143,37.788,36.245
16,128,32,0.1,0,0.01,1.368,0.11,5.839,7.412,5.949000000000001
16,128,32,1.0,0,0.009,1.365,0.11,36.499,38.066,36.609
16,256,32,0.1,0,0.019,1.711,0.131,5.725,7.669,5.856
16,256,32,1.0,0,0.018,1.618,0.128,36.421,38.273,36.549
4,64,32,0.1,0,0.005,1.242,0.101,6.051,7.482,6.152
4,64,32,1.0,0,0.005,1.24,0.102,36.179,37.614,36.281
4,128,32,0.1,0,0.009,1.365,0.11,5.799,7.364,5.909000000000001
